freq	V_in	V_out
0.001298175275049849	1	0.9999414895710542
0.0013081774742601943	1	0.9999405845543352
0.0013182567385564075	1	0.999939665540434
0.0013284136617106516	1	0.9999387323129066
0.0013386488420699927	1	0.9999377846519637
0.0013489628825916532	1	0.9999368223344178
0.0013593563908785254	1	0.9999358451336324
0.00136982997921497	1	0.9999348528194671
0.0013803842646028853	1	0.9999338451582246
0.0013910198687980535	1	0.9999328219125954
0.0014017374183467695	1	0.9999317828416019
0.001412537544622754	1	0.9999307277005418
0.0014234208838643416	1	0.9999296562409306
0.0014343880772119658	1	0.9999285682104435
0.001445439770745928	1	0.9999274633528556
0.0014565766155244587	1	0.9999263414079819
0.0014677992676220691	1	0.999925202111616
0.0014791083881682072	1	0.9999240451954682
0.001490504643386196	1	0.9999228703871027
0.0015019887046324872	1	0.9999216774098728
