Time	Amplitude
0.685	0.0025361
0.686	0.00220718
0.687	0.00204272
0.688	0.0025361
0.689	0.00319393
0.69	0.00220718
0.691	0.0025361
0.692	0.00270056
0.693	0.00286502
0.694	0.0025361
0.695	0.00237164
0.696	0.00204272
0.697	0.00237164
0.698	0.00270056
0.699	0.0025361
0.7	0.00220718
0.701	0.00187826
0.702	0.0025361
0.703	0.00286502
0.704	0.00286502
0.705	0.00237164
0.706	0.00220718
0.707	0.0025361
0.708	0.00286502
0.709	0.0025361
0.71	0.00237164
0.711	0.00220718
0.712	0.00237164
0.713	0.00237164
0.714	0.00237164
0.715	0.00237164
0.716	0.00220718
0.717	0.00237164
0.718	0.00286502
0.719	0.00270056
0.72	0.00204272
0.721	0.00237164
0.722	0.00270056
0.723	0.00237164
0.724	0.00302947
0.725	0.0025361
0.726	0.00220718
0.727	0.00237164
0.728	0.00302947
0.729	0.00286502
0.73	0.00220718
0.731	0.00204272
0.732	0.0017138
0.733	0.446904
0.734	0.0158573
0.735	0.0263826
0.736	-0.00091754
0.737	-0.242343
0.738	0.0725956
0.739	-0.357136
0.74	-0.0836404
0.741	-0.0397299
0.742	-0.00223321
0.743	0.301194
0.744	-0.017199
0.745	-0.053051
0.746	0.385725
0.747	0.120289
0.748	-0.391508
0.749	-0.0736084
0.75	0.0717733
0.751	0.0878903
0.752	0.0923307
0.753	-0.00371334
0.754	-0.0438413
0.755	0.310732
0.756	0.153674
0.757	-0.365359
0.758	-0.0861073
0.759	0.192486
0.76	0.116342
0.761	-0.164883
0.762	-0.0122652
0.763	-0.00141092
0.764	-0.00716698
0.765	0.222089
0.766	-0.293983
0.767	-0.0987706
0.768	0.187552
0.769	0.136406
0.77	-0.282965
0.771	-0.0866007
0.772	-0.0727861
0.773	-0.00535793
0.774	0.0967711
0.775	-0.135609
0.776	-0.121959
0.777	0.356781
0.778	0.116671
0.779	-0.301055
0.78	-0.11719
0.781	-0.0283822
0.782	0.0589455
0.783	0.0528605
0.784	-0.0453215
0.785	-0.0468016
0.786	0.305963
0.787	0.371582
0.788	-0.380982
0.789	-0.108145
0.79	0.0916728
0.791	0.0875614
0.792	0.0104301
0.793	-0.0287111
0.794	-0.0438413
0.795	0.103678
0.796	0.292642
0.797	-0.342499
0.798	-0.12163
0.799	0.0913439
0.8	0.192651
0.801	-0.118506
0.802	-0.083147
0.803	-0.0660433
0.804	0.0262182
0.805	0.152523
0.806	-0.246784
0.807	-0.211589
0.808	0.247415
0.809	0.125222
0.81	-0.155016
0.811	-0.113901
0.812	-0.0443347
0.813	0.0576298
0.814	0.0966066
0.815	-0.103704
0.816	-0.112914
0.817	0.270933
0.818	0.305305
0.819	-0.318652
0.82	-0.123439
0.821	-0.0259153
0.822	0.0947976
0.823	0.0576298
0.824	-0.0431835
0.825	-0.0897254
0.826	0.186566
0.827	0.353656
0.828	-0.355491
0.829	-0.143503
0.83	-0.013252
0.831	0.119302
0.832	0.0564786
0.833	-0.0482817
0.834	-0.101731
0.835	0.089206
0.836	0.372569
0.837	-0.305824
0.838	-0.24481
0.839	0.124236
0.84	0.103021
0.841	0.0559853
0.842	-0.134129
0.843	-0.0622607
0.844	0.00615419
0.845	0.224391
0.846	-0.15814
0.847	-0.196624
0.848	0.231792
0.849	0.233436
0.85	-0.10946
0.851	-0.0916989
0.852	-0.0433479
0.853	0.0814764
