Time - Dev1/ai10	Amplitude - Dev1/ai10
0.0418	0.672048
0.0419	0.683067
0.042	0.693099
0.0421	0.704118
0.0422	0.715466
0.0423	0.725004
0.0424	0.736023
0.0425	0.746219
0.0426	0.755429
0.0427	0.765297
0.0428	0.775658
0.0429	0.785032
0.043	0.793913
0.0431	0.803616
0.0432	0.813319
0.0433	0.821871
0.0434	0.831574
0.0435	0.84029
0.0436	0.848513
0.0437	0.857723
0.0438	0.865946
0.0439	0.87384
0.044	0.882227
0.0441	0.890285
0.0442	0.897686
0.0443	0.905745
0.0444	0.913474
0.0445	0.920217
0.0446	0.928111
0.0447	0.935841
0.0448	0.941926
0.0449	0.949326
0.045	0.955905
0.0451	0.96199
0.0452	0.968568
0.0453	0.975475
0.0454	0.981067
0.0455	0.986823
0.0456	0.993401
0.0457	0.998993
0.0458	1.00393
0.0459	1.01018
0.046	1.01511
0.0461	1.01971
0.0462	1.02514
0.0463	1.03024
0.0464	1.03435
0.0465	1.03912
0.0466	1.04373
0.0467	1.04784
0.0468	1.05211
0.0469	1.0554
0.047	1.05869
0.0471	1.06264
0.0472	1.06609
0.0473	1.06856
0.0474	1.07218
0.0475	1.07497
0.0476	1.07728
0.0477	1.07991
0.0478	1.0827
0.0479	1.085
0.048	1.08649
0.0481	1.08928
0.0482	1.09109
0.0483	1.09257
0.0484	1.09487
0.0485	1.09668
0.0486	1.098
0.0487	1.09997
0.0488	1.10145
0.0489	1.1026
0.049	1.10425
0.0491	1.10375
0.0492	1.10244
0.0493	1.10096
0.0494	1.09981
0.0495	1.09717
0.0496	1.09569
0.0497	1.09471
0.0498	1.09208
0.0499	1.0901
0.05	1.08879
0.0501	1.08599
0.0502	1.08369
0.0503	1.08204
0.0504	1.07908
0.0505	1.07662
0.0506	1.07432
0.0507	1.07135
0.0508	1.06807
0.0509	1.06527
0.051	1.06165
0.0511	1.05787
0.0512	1.05442
0.0513	1.05047
0.0514	1.04603
0.0515	1.04241
0.0516	1.03764
0.0517	1.03221
0.0518	1.02843
0.0519	1.02317
0.052	1.01774
0.0521	1.01264
0.0522	1.00771
0.0523	1.0013
0.0524	0.995868
0.0525	0.990605
0.0526	0.984192
0.0527	0.978436
0.0528	0.972351
0.0529	0.965443
0.053	0.959194
0.0531	0.95278
0.0532	0.945708
0.0533	0.938801
0.0534	0.932058
0.0535	0.924493
0.0536	0.917257
0.0537	0.910514
0.0538	0.902127
0.0539	0.894233
0.054	0.886174
0.0541	0.878116
0.0542	0.869235
0.0543	0.861012
0.0544	0.852789
0.0545	0.843579
0.0546	0.835356
0.0547	0.826311
0.0548	0.816772
0.0549	0.807892
0.055	0.799175
0.0551	0.788814
0.0552	0.779605
0.0553	0.770559
0.0554	0.760363
0.0555	0.750495
0.0556	0.740957
0.0557	0.729938
0.0558	0.719906
0.0559	0.70971
0.056	0.698526
0.0561	0.687672
0.0562	0.677147
0.0563	0.665799
0.0564	0.65478
0.0565	0.643597
0.0566	0.632578
0.0567	0.620737
0.0568	0.610212
0.0569	0.5987
0.057	0.586859
0.0571	0.576004
0.0572	0.564986
0.0573	0.552487
0.0574	0.541139
0.0575	0.529791
0.0576	0.517128
0.0577	0.505287
0.0578	0.493446
0.0579	0.481112
0.058	0.468284
0.0581	0.456443
0.0582	0.443451
0.0583	0.430787
0.0584	0.418946
0.0585	0.405954
0.0586	0.392962
0.0587	0.380792
0.0588	0.368293
0.0589	0.355136
0.059	0.343131
0.0591	0.330138
0.0592	0.316817
0.0593	0.304483
0.0594	0.29149
0.0595	0.278334
0.0596	0.265835
0.0597	0.253172
0.0598	0.23985
0.0599	0.227187
0.06	0.214524
0.0601	0.200709
0.0602	0.187717
0.0603	0.174725
0.0604	0.160746
0.0605	0.147918
0.0606	0.134432
0.0607	0.120124
0.0608	0.106803
0.0609	0.0939753
0.061	0.0796673
0.0611	0.0656883
0.0612	0.0522027
0.0613	0.0385526
0.0614	0.0245736
0.0615	0.0112524
0.0616	-0.00190429
0.0617	-0.0167056
0.0618	-0.0296979
0.0619	-0.0431835
0.062	-0.0576559
0.0621	-0.0709771
0.0622	-0.0842982
0.0623	-0.0986062
0.0624	-0.111927
0.0625	-0.125249
0.0626	-0.139392
0.0627	-0.152713
0.0628	-0.165705
0.0629	-0.17952
0.063	-0.192841
0.0631	-0.20534
0.0632	-0.219155
0.0633	-0.231818
0.0634	-0.244646
0.0635	-0.258131
0.0636	-0.270795
0.0637	-0.283458
0.0638	-0.295957
0.0639	-0.309443
0.064	-0.321613
0.0641	-0.33444
0.0642	-0.347433
0.0643	-0.359438
0.0644	-0.371937
0.0645	-0.385094
0.0646	-0.397428
0.0647	-0.409598
0.0648	-0.423248
0.0649	-0.434925
0.065	-0.446766
0.0651	-0.460251
0.0652	-0.472093
0.0653	-0.483605
0.0654	-0.496597
0.0655	-0.508438
0.0656	-0.519621
0.0657	-0.531791
0.0658	-0.543303
0.0659	-0.554158
0.066	-0.565999
0.0661	-0.577346
0.0662	-0.588365
0.0663	-0.599877
0.0664	-0.611225
0.0665	-0.621421
0.0666	-0.632933
0.0667	-0.644281
0.0668	-0.654642
0.0669	-0.665496
0.067	-0.67668
0.0671	-0.686712
0.0672	-0.697072
0.0673	-0.708091
0.0674	-0.717794
0.0675	-0.727497
0.0676	-0.738352
0.0677	-0.747726
0.0678	-0.756936
0.0679	-0.766639
0.068	-0.775684
0.0681	-0.7844
0.0682	-0.793939
0.0683	-0.802984
0.0684	-0.811043
0.0685	-0.820252
0.0686	-0.828804
0.0687	-0.836205
0.0688	-0.845086
0.0689	-0.853473
0.069	-0.860709
0.0691	-0.868439
0.0692	-0.876333
0.0693	-0.883733
0.0694	-0.891299
0.0695	-0.899028
0.0696	-0.904949
0.0697	-0.912185
0.0698	-0.919421
0.0699	-0.925506
0.07	-0.931756
0.0701	-0.938827
0.0702	-0.944419
0.0703	-0.950011
0.0704	-0.95626
0.0705	-0.961852
0.0706	-0.967279
0.0707	-0.973199
0.0708	-0.978133
0.0709	-0.983067
0.071	-0.988329
0.0711	-0.993592
0.0712	-0.997868
0.0713	-1.00247
0.0714	-1.00741
0.0715	-1.01119
0.0716	-1.01547
0.0717	-1.01941
0.0718	-1.02287
0.0719	-1.02648
0.072	-1.03076
0.0721	-1.03339
0.0722	-1.03652
0.0723	-1.04013
0.0724	-1.0426
0.0725	-1.04474
0.0726	-1.04819
0.0727	-1.05
0.0728	-1.0523
0.0729	-1.05494
0.073	-1.05707
0.0731	-1.05855
0.0732	-1.06151
0.0733	-1.06283
0.0734	-1.06398
0.0735	-1.06612
0.0736	-1.06776
0.0737	-1.06908
0.0738	-1.07072
0.0739	-1.07237
0.074	-1.07352
0.0741	-1.07319
0.0742	-1.07237
0.0743	-1.07007
0.0744	-1.06875
0.0745	-1.06727
0.0746	-1.0653
0.0747	-1.06382
0.0748	-1.06267
0.0749	-1.05987
0.075	-1.05822
0.0751	-1.05658
0.0752	-1.05428
0.0753	-1.05165
0.0754	-1.04967
0.0755	-1.04704
0.0756	-1.04375
0.0757	-1.04178
0.0758	-1.03898
0.0759	-1.03536
0.076	-1.03257
0.0761	-1.02895
0.0762	-1.02517
0.0763	-1.02171
0.0764	-1.01826
0.0765	-1.01366
0.0766	-1.00971
0.0767	-1.0056
0.0768	-1.00034
0.0769	-0.99573
0.077	-0.991619
0.0771	-0.986356
0.0772	-0.981093
0.0773	-0.976488
0.0774	-0.970075
0.0775	-0.964483
0.0776	-0.959878
0.0777	-0.953464
0.0778	-0.94705
0.0779	-0.941623
0.078	-0.935045
0.0781	-0.928302
0.0782	-0.92271
0.0783	-0.915803
0.0784	-0.908567
0.0785	-0.90166
0.0786	-0.894917
0.0787	-0.886858
0.0788	-0.879622
0.0789	-0.87255
0.079	-0.864492
0.0791	-0.856433
0.0792	-0.848868
0.0793	-0.840316
0.0794	-0.832587
0.0795	-0.824528
0.0796	-0.815319
0.0797	-0.806438
0.0798	-0.798215
0.0799	-0.788841
0.08	-0.779631
0.0801	-0.770586
0.0802	-0.761211
0.0803	-0.751837
0.0804	-0.742628
0.0805	-0.73276
0.0806	-0.72207
0.0807	-0.712696
0.0808	-0.702335
0.0809	-0.691645
0.081	-0.68112
0.0811	-0.670595
0.0812	-0.659576
0.0813	-0.648557
0.0814	-0.638196
0.0815	-0.626848
0.0816	-0.615994
0.0817	-0.604975
0.0818	-0.593628
0.0819	-0.582773
0.082	-0.571755
0.0821	-0.559585
0.0822	-0.547908
0.0823	-0.537383
0.0824	-0.525048
0.0825	-0.513207
0.0826	-0.502353
0.0827	-0.489854
0.0828	-0.477191
0.0829	-0.465185
0.083	-0.453015
0.0831	-0.440516
0.0832	-0.428017
0.0833	-0.416012
0.0834	-0.40302
0.0835	-0.390521
0.0836	-0.377857
0.0837	-0.364865
0.0838	-0.35286
0.0839	-0.340361
0.084	-0.327204
0.0841	-0.314705
0.0842	-0.302042
0.0843	-0.289707
0.0844	-0.276551
0.0845	-0.263723
0.0846	-0.250895
0.0847	-0.237738
0.0848	-0.225568
0.0849	-0.211918
0.085	-0.199091
0.0851	-0.185934
0.0852	-0.172448
0.0853	-0.158798
0.0854	-0.14597
0.0855	-0.132156
0.0856	-0.118341
0.0857	-0.105185
0.0858	-0.0912055
0.0859	-0.0777199
0.086	-0.0642342
0.0861	-0.0504197
0.0862	-0.0361118
0.0863	-0.0226261
0.0864	-0.00963386
0.0865	0.00450961
0.0866	0.0181597
0.0867	0.0314809
0.0868	0.0456243
0.0869	0.0596034
0.087	0.0725956
0.0871	0.0865746
0.0872	0.100225
