Frequency	Amplitude
134	8.73E-11
134.2	2.98E-11
134.4	3.82E-10
134.6	3.99E-10
134.8	5.80E-10
135	6.34E-10
135.2	1.51E-09
135.4	2.53E-09
135.6	3.53E-09
135.8	5.19E-09
136	6.96E-09
136.2	7.75E-09
136.4	1.07E-08
136.6	1.06E-08
136.8	9.27E-09
137	1.08E-08
137.2	1.16E-08
137.4	1.00E-08
137.6	6.76E-09
137.8	7.00E-09
138	6.18E-09
138.2	4.64E-09
138.4	2.68E-09
138.6	2.58E-09
138.8	1.68E-09
139	1.38E-09
139.2	1.50E-09
139.4	2.98E-09
139.6	4.37E-09
139.8	5.13E-09
140	1.94E-09
140.2	2.00E-10
140.4	1.73E-09
140.6	2.78E-09
140.8	1.64E-09
141	2.46E-09
141.2	2.53E-09
141.4	4.00E-09
141.6	3.67E-09
141.8	4.78E-09
142	5.19E-09
142.2	5.06E-09
142.4	5.13E-09
142.6	4.42E-09
142.8	4.30E-09
143	3.56E-09
143.2	1.81E-09
143.4	1.40E-09
143.6	4.75E-10
143.8	4.16E-10
144	4.83E-10
144.2	1.29E-09
144.4	2.53E-09
144.6	3.14E-09
144.8	2.89E-09
145	5.33E-10
145.2	8.74E-10
145.4	2.52E-09
145.6	3.13E-09
145.8	3.29E-09
146	3.90E-09
146.2	3.24E-09
146.4	3.13E-09
146.6	1.64E-09
146.8	1.54E-09
147	1.38E-09
147.2	2.95E-09
147.4	3.35E-09
147.6	4.80E-09
147.8	4.32E-09
148	7.06E-09
148.2	8.84E-09
148.4	9.15E-09
148.6	1.11E-08
148.8	1.34E-08
149	1.42E-08
149.2	1.83E-08
149.4	1.95E-08
149.6	1.76E-08
149.8	1.95E-08
150	1.65E-08
150.2	1.42E-08
150.4	1.16E-08
150.6	7.43E-09
150.8	5.59E-09
151	5.26E-09
151.2	7.05E-09
151.4	1.18E-08
151.6	1.69E-08
151.8	2.23E-08
152	2.29E-08
152.2	1.22E-08
152.4	7.27E-09
152.6	1.10E-08
152.8	1.52E-08
153	2.31E-08
153.2	2.46E-08
153.4	2.41E-08
153.6	2.44E-08
153.8	2.71E-08
154	2.74E-08
154.2	2.63E-08
154.4	2.60E-08
154.6	1.74E-08
154.8	9.28E-09
155	4.98E-09
155.2	5.14E-09
155.4	5.46E-09
155.6	4.08E-09
155.8	1.79E-09
156	1.12E-09
156.2	4.70E-10
156.4	3.66E-10
156.6	4.13E-11
156.8	1.11E-10
157	1.16E-09
157.2	2.98E-09
157.4	5.47E-09
157.6	1.00E-08
157.8	1.62E-08
158	1.96E-08
158.2	1.72E-08
158.4	1.45E-08
158.6	8.54E-09
158.8	5.92E-09
159	4.05E-09
159.2	2.94E-09
159.4	1.17E-09
159.6	7.57E-09
159.8	1.28E-08
160	1.58E-08
160.2	1.45E-08
160.4	8.32E-09
160.6	6.36E-09
160.8	3.38E-09
161	1.53E-09
161.2	1.51E-10
161.4	1.02E-10
161.6	5.91E-10
161.8	1.01E-09
162	2.17E-09
162.2	2.59E-09
162.4	2.33E-09
162.6	1.33E-09
162.8	2.00E-09
163	2.34E-09
163.2	3.57E-09
163.4	2.29E-09
163.6	1.70E-09
163.8	7.30E-10
164	4.37E-10
164.2	4.15E-11
164.4	7.41E-10
164.6	1.59E-09
164.8	3.60E-09
165	6.21E-09
165.2	5.81E-09
165.4	2.05E-09
165.6	8.09E-10
165.8	1.83E-09
166	6.13E-10
166.2	2.14E-08
166.4	4.32E-08
166.6	3.69E-08
166.8	2.68E-08
167	2.15E-08
167.2	1.76E-08
167.4	1.40E-08
167.6	1.30E-08
167.8	9.05E-09
168	8.07E-09
168.2	1.32E-08
168.4	1.59E-08
168.6	1.35E-08
168.8	1.09E-08
169	1.01E-08
169.2	6.53E-09
169.4	5.12E-09
169.6	2.35E-09
169.8	1.07E-09
170	4.18E-10
170.2	2.72E-10
170.4	5.95E-10
170.6	9.51E-10
170.8	1.74E-09
171	1.40E-09
171.2	1.87E-09
171.4	1.93E-09
171.6	1.54E-09
171.8	2.49E-09
172	1.85E-09
172.2	2.23E-09
172.4	2.25E-09
172.6	2.55E-09
172.8	2.58E-09
173	2.13E-09
173.2	1.48E-09
173.4	8.10E-10
173.6	4.78E-10
173.8	6.98E-11
174	2.05E-10
174.2	5.80E-10
174.4	1.30E-09
174.6	1.20E-09
174.8	2.68E-09
175	2.74E-09
175.2	2.21E-09
175.4	2.81E-09
175.6	2.08E-09
175.8	1.73E-09
176	2.01E-09
176.2	1.42E-09
176.4	1.47E-09
176.6	8.30E-10
176.8	1.44E-09
177	1.54E-09
177.2	9.27E-10
177.4	1.05E-09
177.6	9.19E-10
177.8	1.37E-09
178	1.21E-09
178.2	1.12E-09
178.4	1.51E-09
178.6	1.53E-09
178.8	1.63E-09
179	1.27E-09
179.2	1.11E-09
179.4	5.69E-10
179.6	2.74E-10
179.8	8.00E-11
180	1.97E-10
180.2	5.02E-11
180.4	1.87E-10
180.6	4.72E-10
180.8	1.21E-09
181	1.08E-09
181.2	1.89E-09
181.4	1.84E-09
181.6	1.74E-09
181.8	3.20E-09
182	3.12E-09
182.2	2.97E-09
182.4	2.70E-09
182.6	2.43E-09
182.8	2.53E-09
183	2.50E-09
183.2	2.31E-09
183.4	1.92E-09
183.6	1.91E-09
183.8	1.05E-09
184	1.87E-09
184.2	1.65E-09
184.4	1.68E-09
184.6	1.29E-09
184.8	1.76E-09
185	2.62E-09
185.2	2.09E-09
185.4	3.48E-09
185.6	3.03E-09
185.8	3.42E-09
186	4.49E-09
186.2	5.60E-09
186.4	7.77E-09
186.6	7.10E-09
186.8	8.10E-09
187	5.09E-09
187.2	5.43E-09
187.4	5.79E-09
187.6	6.29E-09
187.8	4.92E-09
188	3.15E-09
188.2	2.50E-09
188.4	3.24E-09
188.6	2.67E-09
188.8	2.15E-09
189	2.95E-09
189.2	2.86E-09
189.4	4.49E-09
189.6	3.21E-09
189.8	2.82E-09
190	3.13E-09
190.2	2.44E-09
190.4	2.72E-09
190.6	2.30E-09
190.8	2.40E-09
191	2.06E-09
191.2	3.28E-09
191.4	5.35E-09
191.6	8.47E-09
191.8	1.17E-08
192	2.01E-08
192.2	2.24E-08
192.4	2.71E-08
192.6	2.87E-08
192.8	2.19E-08
193	1.35E-08
193.2	9.55E-09
193.4	2.81E-08
193.6	4.03E-08
193.8	5.88E-08
194	1.36E-07
194.2	9.74E-07
194.4	1.90E-06
194.6	6.14E-07
194.8	3.77E-08
195	1.50E-09
195.2	1.63E-09
195.4	3.94E-10
195.6	2.08E-09
195.8	4.63E-09
196	1.87E-09
196.2	1.37E-09
196.4	1.64E-09
196.6	9.99E-10
196.8	1.91E-09
197	1.51E-09
197.2	2.86E-09
197.4	3.32E-09
197.6	4.90E-09
197.8	7.72E-09
198	1.01E-08
198.2	1.23E-08
198.4	1.35E-08
198.6	2.38E-08
198.8	6.40E-08
199	6.33E-08
199.2	3.17E-09
199.4	6.58E-08
199.6	1.21E-07
199.8	1.15E-07
200	9.90E-08
200.2	8.87E-08
200.4	8.17E-08
200.6	7.16E-08
200.8	1.65E-07
201	5.39E-09
201.2	4.06E-08
201.4	3.38E-08
201.6	3.33E-08
201.8	2.73E-08
202	2.55E-08
202.2	2.19E-08
202.4	1.86E-08
202.6	1.80E-08
202.8	2.03E-08
203	1.71E-08
203.2	8.74E-09
203.4	3.23E-09
203.6	3.05E-09
203.8	5.30E-09
204	8.25E-09
204.2	1.03E-08
204.4	1.29E-08
204.6	1.35E-08
204.8	1.11E-08
205	1.20E-08
205.2	1.18E-08
205.4	9.12E-09
205.6	7.81E-09
205.8	7.31E-09
206	6.89E-09
206.2	6.73E-09
206.4	7.30E-09
206.6	5.59E-09
206.8	4.84E-09
207	7.80E-09
207.2	9.76E-09
207.4	1.21E-08
207.6	1.07E-08
207.8	9.61E-09
208	6.44E-09
208.2	4.97E-09
208.4	2.42E-09
208.6	7.75E-10
208.8	8.24E-11
209	4.78E-10
209.2	1.96E-09
209.4	4.82E-09
209.6	6.24E-09
209.8	8.22E-09
210	9.89E-09
210.2	9.04E-09
210.4	8.92E-09
210.6	9.99E-09
210.8	7.99E-09
211	8.05E-09
211.2	9.42E-09
211.4	9.26E-09
211.6	8.08E-09
211.8	6.86E-09
212	4.54E-09
212.2	3.54E-09
