Time (s)	Measured Amplitude (V)
53.6	1.51556
53.7	1.51539
53.8	1.51572
53.9	1.51539
54	1.51572
54.1	1.51556
54.2	1.51556
54.3	1.51556
54.4	1.51556
54.5	1.51556
54.6	1.51572
54.7	1.51556
54.8	1.51572
54.9	1.51572
55	1.51589
55.1	1.51572
55.2	1.51589
55.3	1.51572
55.4	1.51589
55.5	1.51572
55.6	1.51572
55.7	1.51507
55.8	1.51589
55.9	1.51589
56	1.51589
56.1	1.51605
56.2	1.51589
56.3	1.51589
56.4	1.51605
56.5	1.51589
56.6	1.51572
56.7	1.51605
56.8	1.51605
56.9	1.51605
57	1.51605
57.1	1.51572
57.2	1.51572
57.3	1.51589
57.4	1.51605
57.5	1.51572
57.6	1.51589
57.7	1.51589
57.8	1.51589
57.9	1.51589
58	1.51605
58.1	1.51589
58.2	1.51572
58.3	1.51605
58.4	1.51622
58.5	1.51589
58.6	1.51589
58.7	1.51589
58.8	1.51605
58.9	1.51572
59	1.51605
59.1	1.51589
59.2	1.51572
59.3	1.51622
59.4	1.51589
59.5	1.51589
59.6	1.51605
59.7	1.51589
59.8	1.51589
59.9	1.51589
