Time (s)	Measured Amplitude (V)
57.7	0.0255604
57.8	0.0253959
57.9	0.0255604
58	0.0253959
58.1	0.0255604
58.2	0.0253959
58.3	0.025067
58.4	0.0253959
58.5	0.025067
58.6	0.0253959
58.7	0.025067
58.8	0.0252314
58.9	0.0252314
59	0.0253959
59.1	0.025067
59.2	0.0252314
59.3	0.025067
59.4	0.0249025
59.5	0.0249025
59.6	0.0249025
59.7	0.0249025
59.8	0.0247381
59.9	0.0245736
60	0.0245736
60.1	0.0247381
60.2	0.0245736
60.3	0.0247381
60.4	0.0245736
60.5	0.0245736
60.6	0.025067
60.7	0.0240802
60.8	0.0242447
60.9	0.0242447
61	0.0244091
61.1	0.0244091
61.2	0.0242447
61.3	0.0242447
61.4	0.0242447
61.5	0.0242447
61.6	0.0240802
61.7	0.0239158
61.8	0.0240802
61.9	0.0239158
62	0.0240802
62.1	0.0240802
62.2	0.0239158
62.3	0.0240802
62.4	0.0239158
62.5	0.0239158
62.6	0.0237513
62.7	0.0237513
62.8	0.0239158
62.9	0.0237513
63	0.0237513
63.1	0.0239158
63.2	0.0237513
63.3	0.0235868
63.4	0.0239158
63.5	0.0237513
63.6	0.0237513
63.7	0.0235868
63.8	0.0235868
63.9	0.0235868
64	0.0237513
64.1	0.0235868
64.2	0.0232579
64.3	0.0230935
64.4	0.0237513
64.5	0.0234224
64.6	0.0234224
64.7	0.0232579
64.8	0.0232579
64.9	0.0234224
65	0.0232579
65.1	0.0234224
65.2	0.0232579
65.3	0.0232579
65.4	0.0232579
65.5	0.0232579
65.6	0.0230935
65.7	0.0230935
65.8	0.0230935
65.9	0.0232579
66	0.0230935
66.1	0.022929
66.2	0.0230935
66.3	0.022929
66.4	0.0230935
66.5	0.022929
66.6	0.0227645
66.7	0.0230935
66.8	0.022929
66.9	0.0227645
67	0.022929
67.1	0.022929
67.2	0.0227645
67.3	0.0227645
67.4	0.0227645
67.5	0.0227645
67.6	0.0227645
67.7	0.0227645
67.8	0.0226001
67.9	0.0226001
68	0.0227645
68.1	0.0226001
68.2	0.0224356
68.3	0.0224356
68.4	0.0224356
68.5	0.0224356
68.6	0.0224356
68.7	0.0224356
68.8	0.0222712
68.9	0.0222712
69	0.0222712
69.1	0.0224356
69.2	0.022929
69.3	0.0224356
69.4	0.0219423
69.5	0.0219423
69.6	0.0221067
69.7	0.0222712
69.8	0.0221067
69.9	0.0221067
70	0.0221067
70.1	0.0221067
70.2	0.0221067
70.3	0.0221067
70.4	0.0222712
70.5	0.0219423
70.6	0.0219423
70.7	0.0221067
70.8	0.0217778
70.9	0.0217778
71	0.0221067
71.1	0.0219423
71.2	0.0219423
71.3	0.0219423
71.4	0.0219423
71.5	0.0219423
71.6	0.0221067
71.7	0.0217778
71.8	0.0219423
71.9	0.0217778
72	0.0217778
72.1	0.0217778
72.2	0.0219423
72.3	0.0217778
72.4	0.0217778
72.5	0.0216133
72.6	0.0216133
72.7	0.0217778
72.8	0.0216133
72.9	0.0216133
73	0.0217778
73.1	0.020791
73.2	0.0216133
73.3	0.0216133
73.4	0.0214489
73.5	0.0216133
73.6	0.0216133
73.7	0.0214489
73.8	0.0212844
73.9	0.0216133
74	0.0216133
74.1	0.0214489
74.2	0.0214489
74.3	0.0212844
74.4	0.0214489
74.5	0.0214489
74.6	0.0214489
74.7	0.0214489
74.8	0.0212844
74.9	0.0212844
75	0.0214489
75.1	0.02112
75.2	0.0214489
75.3	0.02112
75.4	0.0212844
75.5	0.0214489
75.6	0.0212844
75.7	0.02112
75.8	0.02112
75.9	0.02112
76	0.0212844
76.1	0.0212844
76.2	0.0212844
76.3	0.02112
76.4	0.0209555
76.5	0.02112
76.6	0.0209555
76.7	0.0212844
76.8	0.0216133
76.9	0.0212844
77	0.0209555
77.1	0.02112
77.2	0.02112
77.3	0.02112
77.4	0.02112
77.5	0.0209555
77.6	0.02112
77.7	0.02112
77.8	0.0209555
77.9	0.0209555
78	0.0209555
78.1	0.02112
78.2	0.0209555
78.3	0.02112
78.4	0.0209555
78.5	0.0209555
78.6	0.0209555
78.7	0.0209555
78.8	0.020791
78.9	0.0209555
79	0.0209555
79.1	0.020791
79.2	0.020791
79.3	0.020791
79.4	0.02112
79.5	0.020791
79.6	0.020791
79.7	0.0209555
79.8	0.020791
79.9	0.0209555
80	0.0206266
80.1	0.020791
80.2	0.020791
80.3	0.0209555
80.4	0.0206266
80.5	0.0206266
80.6	0.0209555
80.7	0.020791
80.8	0.020791
80.9	0.0206266
81	0.0204621
81.1	0.0206266
81.2	0.020791
81.3	0.0206266
81.4	0.020791
81.5	0.0206266
81.6	0.020791
81.7	0.0206266
81.8	0.020791
81.9	0.020791
82	0.0206266
82.1	0.0204621
82.2	0.020791
82.3	0.0206266
82.4	0.020791
82.5	0.0206266
82.6	0.0204621
82.7	0.020791
82.8	0.0206266
82.9	0.0206266
83	0.0204621
83.1	0.0204621
83.2	0.0206266
83.3	0.020791
83.4	0.0204621
83.5	0.020791
83.6	0.020791
83.7	0.0206266
83.8	0.0206266
83.9	0.0204621
84	0.0202977
84.1	0.0206266
84.2	0.0206266
84.3	0.0204621
84.4	0.0204621
84.5	0.0206266
84.6	0.0206266
84.7	0.0202977
84.8	0.0204621
84.9	0.0206266
85	0.0204621
85.1	0.0204621
85.2	0.0204621
85.3	0.0206266
85.4	0.0206266
85.5	0.0204621
85.6	0.0206266
85.7	0.0204621
85.8	0.0204621
85.9	0.0202977
86	0.0206266
86.1	0.0204621
86.2	0.0202977
86.3	0.0204621
86.4	0.0202977
86.5	0.0201332
86.6	0.0206266
86.7	0.0202977
86.8	0.0202977
86.9	0.0202977
87	0.0202977
87.1	0.0204621
87.2	0.0202977
87.3	0.0202977
87.4	0.0202977
87.5	0.0206266
87.6	0.0212844
87.7	0.0201332
87.8	0.0202977
87.9	0.0199687
88	0.0202977
88.1	0.0204621
88.2	0.0202977
88.3	0.0201332
88.4	0.0201332
88.5	0.0201332
88.6	0.0201332
88.7	0.0201332
88.8	0.0201332
88.9	0.0202977
89	0.0202977
89.1	0.0202977
89.2	0.0202977
89.3	0.0202977
89.4	0.0201332
89.5	0.0202977
89.6	0.0202977
89.7	0.0198043
89.8	0.0202977
89.9	0.0202977
90	0.0201332
90.1	0.0201332
90.2	0.0201332
90.3	0.0199687
90.4	0.0201332
90.5	0.0199687
90.6	0.0199687
90.7	0.0201332
90.8	0.0199687
90.9	0.0199687
91	0.0198043
91.1	0.0199687
91.2	0.0201332
91.3	0.0199687
91.4	0.0201332
91.5	0.0202977
91.6	0.0201332
91.7	0.0198043
91.8	0.0198043
91.9	0.0201332
92	0.0199687
92.1	0.0201332
92.2	0.0199687
92.3	0.0201332
92.4	0.0198043
92.5	0.0198043
92.6	0.0201332
92.7	0.0198043
92.8	0.0199687
92.9	0.0199687
93	0.0196398
93.1	0.0199687
93.2	0.0198043
93.3	0.0196398
93.4	0.0198043
93.5	0.0196398
93.6	0.0199687
93.7	0.0198043
93.8	0.0198043
93.9	0.0194754
94	0.0196398
94.1	0.0194754
94.2	0.0196398
94.3	0.0198043
94.4	0.0194754
94.5	0.0194754
94.6	0.0194754
94.7	0.0194754
94.8	0.0194754
94.9	0.0194754
95	0.0194754
95.1	0.0194754
95.2	0.0194754
95.3	0.0199687
95.4	0.018982
95.5	0.0194754
95.6	0.0196398
95.7	0.0193109
95.8	0.0193109
95.9	0.0194754
96	0.0193109
96.1	0.0193109
96.2	0.0191465
96.3	0.0193109
96.4	0.0193109
96.5	0.018982
96.6	0.018982
96.7	0.018982
96.8	0.0191465
96.9	0.0191465
97	0.018982
97.1	0.018982
97.2	0.0191465
97.3	0.0191465
97.4	0.018982
97.5	0.0188175
97.6	0.0188175
97.7	0.0186531
97.8	0.0188175
97.9	0.0188175
98	0.0186531
98.1	0.0188175
98.2	0.0186531
98.3	0.0186531
98.4	0.0186531
98.5	0.0186531
98.6	0.0186531
98.7	0.0186531
98.8	0.0186531
98.9	0.0186531
99	0.0183242
99.1	0.0186531
99.2	0.0186531
99.3	0.0184886
99.4	0.0183242
99.5	0.0184886
99.6	0.0183242
99.7	0.0183242
99.8	0.0183242
99.9	0.0183242
100	0.0183242
100.1	0.0181597
100.2	0.0179952
100.3	0.0183242
100.4	0.0181597
100.5	0.0181597
100.6	0.0183242
100.7	0.0179952
100.8	0.0179952
100.9	0.0181597
101	0.0179952
101.1	0.0179952
101.2	0.0179952
101.3	0.0179952
101.4	0.0179952
101.5	0.0181597
101.6	0.0179952
101.7	0.0181597
101.8	0.0176663
101.9	0.0179952
102	0.0178308
102.1	0.0179952
102.2	0.0178308
102.3	0.0178308
102.4	0.0178308
102.5	0.0178308
102.6	0.0176663
102.7	0.0179952
102.8	0.0176663
102.9	0.0178308
103	0.0179952
103.1	0.0178308
103.2	0.0178308
103.3	0.0176663
103.4	0.0173374
103.5	0.0178308
103.6	0.0176663
103.7	0.0176663
103.8	0.0175019
103.9	0.0175019
104	0.0176663
104.1	0.0175019
104.2	0.0176663
104.3	0.0173374
104.4	0.0173374
104.5	0.0176663
104.6	0.0173374
104.7	0.0175019
104.8	0.0176663
104.9	0.0173374
105	0.0173374
105.1	0.0175019
105.2	0.0173374
105.3	0.0173374
105.4	0.0173374
